湖南常德外网IPTV,#genre#
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/hls126.m3u8
吉林卫视,http://hdtv.lzu6.edu.cn/hls/jlhd.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/hljhd.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/jlu_hljhd.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/hls95.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/hls71a14.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/tjhd.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/hls69a22.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/hls125.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/cqhd.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/jlu_cqhd.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/hls186.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/hls68a41.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/hbhd.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/jlu_hbhd.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/hls70a17.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/hls124.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/sdhd.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/jlu_sdhd.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/hls70a18.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/hls131.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/gdhd.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/jlu_gdhd.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/hls70a19.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/hls130.m3u8
四川卫视,http://hdtv.lzu6.edu.cn/hls/schd.m3u8
四川卫视,http://hdtv.lzu6.edu.cn/hls/hls185.m3u8
河南卫视,http://hdtv.lzu6.edu.cn/hls/hnhd.m3u8
东南卫视,http://hdtv.lzu6.edu.cn/hls/dnhd.m3u8
东南卫视,http://hdtv.lzu6.edu.cn/hls/jlu_dnwshd.m3u8
东南卫视,http://hdtv.lzu6.edu.cn/hls/hls77a55.m3u8
海南卫视,http://hdtv.lzu6.edu.cn/hls/lyhd.m3u8
河北卫视,http://hdtv.lzu6.edu.cn/hls/hebhd.m3u8
河北卫视,http://hdtv.lzu6.edu.cn/hls/jlu_hbhd1.m3u8
江西卫视,http://hdtv.lzu6.edu.cn/hls/jxhd.m3u8
广西卫视,http://hdtv.lzu6.edu.cn/hls/gxhd.m3u8
贵州卫视,http://hdtv.lzu6.edu.cn/hls/gzhd.m3u8
凤凰卫视,http://hdtv.lzu6.edu.cn/hls/hls254.m3u8$1280*720
凤凰资讯,http://hdtv.lzu6.edu.cn/hls/hls255.m3u8$1280*720
BTV文艺,http://hdtv.lzu6.edu.cn/hls/btv2hd.m3u8
BTV科教,http://hdtv.lzu6.edu.cn/hls/btv3hd.m3u8
BTV影视,http://hdtv.lzu6.edu.cn/hls/btv4hd.m3u8
BTV财经,http://hdtv.lzu6.edu.cn/hls/btv5hd.m3u8
BTV生活,http://hdtv.lzu6.edu.cn/hls/btv7hd.m3u8
BTV青年,http://hdtv.lzu6.edu.cn/hls/btv8hd.m3u8
BTV新闻,http://hdtv.lzu6.edu.cn/hls/btv9hd.m3u8
BTV冬奥纪实,http://hdtv.lzu6.edu.cn/hls/btv11hd.m3u8
BTV冬奥纪实,http://hdtv.lzu6.edu.cn/hls/hls69a25.m3u8
BTV冬奥纪实,http://hdtv.lzu6.edu.cn/hls/hls162.m3u8
金鹰纪实,http://hdtv.lzu6.edu.cn/hls/gedocu.m3u8
金鹰纪实,http://hdtv.lzu6.edu.cn/hls/hls75a26.m3u8
金鹰纪实,http://hdtv.lzu6.edu.cn/hls/hls163.m3u8
上视纪实,http://hdtv.lzu6.edu.cn/hls/docuchina.m3u8
全纪实,http://hdtv.lzu6.edu.cn/hls/hls184a639.m3u8
足球频道,http://hdtv.lzu6.edu.cn/hls/zqhd.m3u8
家庭剧场HD,http://hdtv.lzu6.edu.cn/hls/hls75a28.m3u8
家庭剧场HD,http://hdtv.lzu6.edu.cn/hls/hls165.m3u8
大众影视HD,http://hdtv.lzu6.edu.cn/hls/hls75a27.m3u8
大众影视HD,http://hdtv.lzu6.edu.cn/hls/hls164.m3u8
家庭影院HD,http://hdtv.lzu6.edu.cn/hls/hls75a29.m3u8
家庭影院HD,http://hdtv.lzu6.edu.cn/hls/hls166.m3u8
卡通剧场HD,http://hdtv.lzu6.edu.cn/hls/hls77a30.m3u8
卡通剧场HD,http://hdtv.lzu6.edu.cn/hls/hls167.m3u8
动漫秀场,http://hdtv.lzu6.edu.cn/hls/hls184a636.m3u8
游戏风云,http://hdtv.lzu6.edu.cn/hls/hls184a637.m3u8
CETV1,http://hdtv.lzu6.edu.cn/hls/cetv1hd.m3u8
CETV1,http://hdtv.lzu6.edu.cn/hls/hls67a45.m3u8
Max极速汽车,http://hdtv.lzu6.edu.cn/hls/hls184a94.m3u8
金色频道,http://hdtv.lzu6.edu.cn/hls/hls184a90.m3u8
生活时尚,http://hdtv.lzu6.edu.cn/hls/hls184a91.m3u8
法治天地,http://hdtv.lzu6.edu.cn/hls/hls184a89.m3u8
IPTV5+,http://hdtv.lzu6.edu.cn/hls/hls184.m3u8
